,Powiat,Laczna ilosc glosow,Laczna ilosc glosow niewaznych,Poprzez brak głosu,Poprzez zbyt wiele głosów
0,Powiat bolesławiecki,46510,1031,449,582
1,Powiat głogowski,47421,817,341,476
2,Powiat jaworski,25660,520,209,311
3,Powiat karkonoski,36096,657,287,370
4,Powiat kamiennogórski,21878,521,190,331
5,Powiat legnicki,29842,712,291,421
6,Powiat lubański,28311,620,243,377
7,Powiat lubiński,58542,1025,349,676
8,Powiat lwówecki,22447,610,260,350
9,Powiat polkowicki,32706,712,285,427
10,Powiat zgorzelecki,47244,1076,445,631
11,Powiat złotoryjski,21622,511,188,323
12,Miasto na prawach powiatu Jelenia Góra,43154,563,284,279
13,Miasto na prawach powiatu Legnica,50399,587,277,310
14,Powiat dzierżoniowski,50902,1035,367,668
15,Powiat kłodzki,81969,1676,570,1106
16,Powiat świdnicki,83807,1465,468,997
17,Powiat wałbrzyski,28399,601,174,427
18,Powiat ząbkowicki,31970,699,247,452
19,Miasto na prawach powiatu Wałbrzych,52643,854,369,485
20,Powiat górowski,16532,440,176,264
21,Powiat milicki,19350,390,174,216
22,Powiat oleśnicki,58768,1190,535,655
23,Powiat oławski,43413,552,263,289
24,Powiat strzeliński,24111,512,192,320
25,Powiat średzki,32010,622,292,330
26,Powiat trzebnicki,50046,1082,417,665
27,Powiat wołowski,25754,580,257,323
28,Powiat wrocławski,102779,1190,557,633
29,Miasto na prawach powiatu Wrocław,412755,2906,1463,1443
30,Powiat bydgoski,70778,1193,449,744
31,Powiat inowrocławski,83780,1959,723,1236
32,Powiat mogileński,23622,604,203,401
33,Powiat nakielski,44419,1254,495,759
34,Powiat sępoleński,19592,531,202,329
35,Powiat świecki,48842,1317,504,813
36,Powiat tucholski,25203,765,304,461
37,Powiat żniński,36936,1056,389,667
38,Miasto na prawach powiatu Bydgoszcz,191388,1962,874,1088
39,Powiat aleksandrowski,32235,893,318,491
40,Powiat brodnicki,40153,1028,360,609
41,Powiat chełmiński,24822,717,260,394
42,Powiat golubsko-dobrzyński,22660,576,195,329
43,Powiat grudziądzki,19619,566,201,322
44,Powiat lipnowski,31145,1042,365,616
45,Powiat radziejowski,20558,545,197,307
46,Powiat rypiński,21452,525,184,300
47,Powiat toruński,60618,1280,433,707
48,Powiat wąbrzeski,16021,451,142,270
49,Powiat włocławski,44368,1499,510,883
50,Miasto na prawach powiatu Grudziądz,45912,757,331,325
51,Miasto na prawach powiatu Toruń,113849,1197,500,572
52,Miasto na prawach powiatu Włocławek,56271,1010,386,517
53,Powiat janowski,25125,376,158,186
54,Powiat kraśnicki,48170,1025,427,533
55,Powiat lubartowski,47529,1116,470,544
56,Powiat lubelski,90741,1405,541,682
57,Powiat łęczyński,30216,681,233,393
58,Powiat łukowski,57464,1370,499,711
59,Powiat opolski,29997,743,284,371
60,Powiat puławski,64578,1204,487,568
61,Powiat rycki,31128,623,265,305
62,Powiat świdnicki,39209,560,227,269
63,Miasto na prawach powiatu Lublin,195188,1895,846,806
64,Powiat bialski,57813,1334,517,817
65,Powiat biłgorajski,51968,847,316,531
66,Powiat chełmski,36730,1087,382,705
67,Powiat hrubieszowski,29532,628,246,382
68,Powiat krasnostawski,31792,781,295,486
69,Powiat parczewski,17795,415,138,277
70,Powiat radzyński,30875,725,244,481
71,Powiat tomaszowski,40681,806,287,519
72,Powiat włodawski,19671,521,183,338
73,Powiat zamojski,54736,1161,437,724
74,Miasto na prawach powiatu Biała Podlaska,31220,413,141,272
75,Miasto na prawach powiatu Chełm,31378,455,176,279
