Powiat,URL
Powiat bolesławiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20100
Powiat głogowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20300
Powiat jaworski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20500
Powiat karkonoski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20600
Powiat kamiennogórski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20700
Powiat legnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20900
Powiat lubański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21000
Powiat lubiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21100
Powiat lwówecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21200
Powiat polkowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21600
Powiat zgorzelecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22500
Powiat złotoryjski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22600
Miasto na prawach powiatu Jelenia Góra,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26100
Miasto na prawach powiatu Legnica,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26200
Powiat dzierżoniowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20200
Powiat kłodzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20800
Powiat świdnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21900
Powiat wałbrzyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22100
Powiat ząbkowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22400
Miasto na prawach powiatu Wałbrzych,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26500
Powiat górowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/20400
Powiat milicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21300
Powiat oleśnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21400
Powiat oławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21500
Powiat strzeliński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21700
Powiat średzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/21800
Powiat trzebnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22000
Powiat wołowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22200
Powiat wrocławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/22300
Miasto na prawach powiatu Wrocław,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/26400
Powiat bydgoski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40300
Powiat inowrocławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40700
Powiat mogileński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40900
Powiat nakielski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41000
Powiat sępoleński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41300
Powiat świecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41400
Powiat tucholski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41600
Powiat żniński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41900
Miasto na prawach powiatu Bydgoszcz,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/46100
Powiat aleksandrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40100
Powiat brodnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40200
Powiat chełmiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40400
Powiat golubsko-dobrzyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40500
Powiat grudziądzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40600
Powiat lipnowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/40800
Powiat radziejowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41100
Powiat rypiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41200
Powiat toruński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41500
Powiat wąbrzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41700
Powiat włocławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/41800
Miasto na prawach powiatu Grudziądz,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/46200
Miasto na prawach powiatu Toruń,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/46300
Miasto na prawach powiatu Włocławek,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/46400
Powiat janowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60500
Powiat kraśnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60700
Powiat lubartowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60800
Powiat lubelski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60900
